College,PG Name,Location,Gender,Distance from NMIT,Room Types,Price (_/month),Amenities,Images
NMIT,Serov House,Yelahanka,Female,~5 km,"Double, Triple","8,599 - 9,999","Food, Wi-Fi, Laundry",
NMIT,Albury House,Yelahanka,Male,~5.5 km,"Double, Triple","8,299 - 9,299","Food, Wi-Fi, Laundry",
NMIT,Watford House,Nagenahalli,Male,~6.1 km,"Double, Triple","7,299 - 8,099","Food, Wi-Fi, Laundry",
NMIT,Glencoe House,Nagenahalli,Male,~6.2 km,"Double, Triple, Quad","7,399 - 7,799","Food, Wi-Fi, Laundry",
NMIT,Salta House,Nagenahalli,Unisex,~7.1 km,Double,"9,999 - 13,000","Food, Wi-Fi, Laundry",
NMIT,Salento House,Harohalli,Male,~7.1 km,Double,"11,499 - 19,000","Food, Wi-Fi, Laundry",
NMIT,Vernon House,Harohalli,Male,~7.2 km,"Triple, Quad","7,999 - 9,999 ","Food, Wi-Fi, Laundry",
NMIT,Ibarra House,Harohalli,Female,~7.2 km,"Double, Triple, Quad","7,999 - 9,999 ","Food, Wi-Fi, Laundry",
NMIT,Incheon House,Harohalli,Male,~7.2 km,"Triple, Quad","11,499 - 19,000","Food, Wi-Fi, Laundry",
NMIT,Newport House,Harohalli,Unisex,~7.2 km,Double,"11,000 - 13,000","Food, Wi-Fi, Laundry",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BMSIT,Shanmuka PG,Yelahanka,Male,~1 km,"Single,Double","10,000 - 15,000","Food, Wi-Fi, Laundry",
BMSIT,Aadhya Luxurious PG,Yelahanka,Male,~1 km,"Single,Double","7,000 - 9,000","Food, Wi-Fi, Laundry",
BMSIT,SLN Luxury PG,Yelahanka,Male,~1 km,"Single,Double","12,000 - 18,000","Food, Wi-Fi, Laundry",
BMSIT,Janani Ladies PG,Avalahalli ,Female,~1 km,"Single,Double,Triple","15,000 - 17,000","Food, Wi-Fi, Laundry",
BMSIT,Sri Devi Ladies PG,Avalahalli ,Female,~1 km,"Single,Double,Triple","10,000 - 20,000","Food, Wi-Fi, Laundry",
BMSIT,Serov House,Nagenahalli,Female,~1 km,"Single,Double,Triple","11,000 - 13,000","Food, Wi-Fi, Laundry",
BMSIT,Watford House,Nagenahalli,Female,~1 km,"Double, Triple, Quad","6,000 - 7,500","Food, Wi-Fi, Laundry",
BMSIT,Glencoe House,Rajankunte,Female,~5 km,"Double, Triple","8,599 - 9,999","Food, Wi-Fi, Laundry",
BMSIT,Salta House,Rajankunte,Female,~5 km,"Double, Triple, Quad","9,999 - 12,999","Food, Wi-Fi, Laundry",
BMSIT,Salento House,Rajankunte,Male,~6.1 km,"Double, Triple","7,299 - 8,099","Food, Wi-Fi, Laundry",
BMSIT,Vernon House,Rajankunte,Male,~6.2 km,"Double, Triple, Quad","7,399 - 7,799","Food, Wi-Fi, Laundry",
BMSIT,Ibarra House,Harohalli,Unisex,~7.1 km,Double,"10,000 - 20,000","Food, Wi-Fi, Laundry",
,Incheon House,Harohalli,Male,~7.1 km,Double,"10,000 - 20,001","Food, Wi-Fi, Laundry",
,Newport House,Harohalli,Male,~7.2 km,"Triple, Quad","10,000 - 20,002","Food, Wi-Fi, Laundry",
,,,,,,,,
,,,,,,,,
RNSIT,S V PG For Men,Rajarajeshwari Nagar,Female,~2 km,"Single,Double,Triple","8,599 - 9,999","Meals, Wi-Fi, Laundry",
RNSIT,Sri Lucky Boys Hostel,Rajarajeshwari Nagar,Female,~2 km,"Single,Double,Triple","8,599 - 9,1000","Meals, Wi-Fi, Laundry",
RNSIT,Reddy Boys Hostel-4,Rajarajeshwari Nagar,Female,~2 km,"Double, Triple, Quad","5,500 - 7,500","Meals, Wi-Fi, Laundry",
RNSIT,Sri Venkateshwara Boys Hostel,Rajarajeshwari Nagar,Male,~3.7 km,"Double, Triple, Quad","6,000 - 7,500","Meals, Wi-Fi, Laundry",
RNSIT,Samrudhi Boys Hostel,Rajarajeshwari Nagar,Male,~4.5 km,"Double, Triple, Quad","6,000 - 7,501","Meals, Wi-Fi, Laundry",
RNSIT,Sri Sai Executive Boys Hostel,Rajarajeshwari Nagar,Male,~5 km,"Single,Double,Triple","6,000 - 7,502","Meals, Wi-Fi, Laundry",
,,,,,,,,
,,,,,,,,
GITAM,SLN Grand PG,"Bala Nagar, Hyderabad",Male,~6.5 km,"Single,Double,Triple","11,000 - 13,000","Meals, Wi-Fi, Laundry",
GITAM,Nithya Girls Hostels,"Vidya Nagar, Hyderabad",Male,~6.5 km,"Single,Double,Triple","11,000 - 13,001","Meals, Wi-Fi, Laundry",
GITAM,Navya Sri Women's Hostels,Patancheru,Female,~3 km,"Single,Double,Triple","5,000 - 6,500","Meals, Wi-Fi, Laundry",
GITAM,Sree Vishnu Sai Women's PG,Patancheru,Female,~1 km,"Single,Double","4,500 - 6,000","Meals, Wi-Fi, Laundry",
GITAM,Suha Girls Hostel,Moula Ali,Female,~3 km,"Single,Double","4,500 - 6,000","Meals, Wi-Fi, Laundry",
,,Patancheru,Female,~2 km,"Single,Double","5,000 - 7,000","Meals, Wi-Fi, Laundry",
